id,原始问题,改写问题
788,什么是路由器？路由器与交换机有何不同？多台电脑共享一个连接用路由,路由器和交换机有什么不一样
789,什么才是非法传销?跟直销如何区分?,如何区分传销和直销
790,毛笔字为什么要写在宣纸上,为什么毛笔字要写在宣纸上
791,肾病综合征患者怎样用中医药治疗,中医如何治疗肾病综合症
792,颈椎病的症状？颈椎病的症状有哪些？,颈椎病都有哪些症状
793,膝盖扭伤的骨质增生怎么治疗？,如何治疗膝盖扭伤造成的骨质增生
794,与马克思齐名的哲学家是谁？,哪个哲学家和马克思齐名
795,关于童话！谁能告诉一下王尔德的三部童话作品啊？谢谢谢谢！,说下王尔德的三部童话作品
796,制造一角钱的硬币的成本是多少？,制作一角钱硬币需要多少成本
797,世界上有哪些国家的元旦节不是在1月1日？,哪些国家的元旦不是1月1日
798,中国姓氏的由来现在中国有很多性，问下这些性是怎么来的啊。请解释下,中国的姓氏是怎么来的
799,基金获利如何计算，请举例，谢谢,如何计算基金获利
800,什么时候四减三等于五,四减三在什么时候会等于五
801,股票中三板是什么意思,股票术语中的三板是什么意思
802,怎么样才能够更好的融入到社会中？,如何更好的融入社会
803,敲门为什么习惯连续敲三下？,为什么敲门要连敲三下
804,肺结核早期有什么明显症状吗？如题,早期肺结核有什么症状
805,为什么下雨打雷，下雪极少打雷,下雨为什么会打雷
806,怎样挽留这段即将分开的感情我们在一起快一年了，我们在同一间学校的,如何挽留一段即将分开的感情
807,我有盆腔炎吃点什么药好呢？,盆腔炎吃什么比较好
808,碳酸氢钠溶液和氢氧化钙恰好完全反应时生成什么急急急急，帮帮忙，是,碳酸氢钠溶液和氢氧化钙反应会生成什么
809,斜坡的作用到底是什么,斜坡有什么作用
810,喝过水的奶瓶要怎么消毒?,奶瓶如何消毒
811,"什么色的背景对人眼最好看书,用电脑时,主要是看电子书时 ",哪种颜色的背景对人眼好
812,晚上睡觉小腿抽筋怎么办？,我的小腿晚上会抽筋怎么办
813,四六级证书什么时候发,什么时候发放四六级证书
814,腹部不舒服？两片肋骨中间靠点右侧，那是哪啊。坐着那就会不舒服。也?,腹部不舒服怎么办
815,《西厢记》的作者是谁？,西厢记是谁写的
816,"什么是社会主义?社会主义的本质是什么,",社会主义是什么
817,胸腔积液由什么症状,胸腔积液有哪些症状
818,如何快速有效戒烟,怎样才能戒烟
819,圣诞老人的原型是什么?,谁是圣诞老人
820,地幔是固态还是液态?,请问地幔到底是固态的还是液态的呢
821,生如夏花是什么意思？不是歌，是这个词本身的意思。,生如夏花本身的意思是什么
822,如何知道自己的星座,怎么能知道自己是什么星座
823,心无界方能无疆什么意思\n,请解释一下心无界方能无疆的意思
824,哪个国家有“千湖国”的称号,
825,为什么螃蟹要横着爬行,螃蟹为什么要横着爬行
826,老年人适合喝什么饮料！随便问一下！！！,老年人比较适合喝哪种饮料
827,徐悲鸿以画什么闻名世界?,徐悲鸿是画什么的
828,欧元的设计者是谁?,谁设计了欧元
