,Unnamed: 0,target,question,命中情况,目标相似度,目标位置
0,0,怎么让女孩爱上你我现在在网上认识一女孩。可她老说她有男朋友，不接 ,如何让女孩爱上你?,"(我怎样才能爱上一个姑娘 ,0.33366695);(怎么可以让你爱上我 ,0.4337832);(怎样让一个女孩喜欢你怎样才能让一个女孩喜欢? ,0.5222851);(怎样做能使女孩喜欢你、爱你！ ,0.5463761);(我的女朋友怎么才能爱我？ ,0.620505);(如何让你心仪的女生喜欢你 ,0.63007057);(爱情如何去追求一个心爱的女人？ ,0.6838555);(恋爱有什么办法让女孩爱上了我? ,0.6866097);(现在什么样的女孩值得去爱？？？ ,0.72435546);(我怎么才能拥有爱情我怎样才能爱上一个人 ,0.72782403)",-1.0,-1
70,70,我家宝宝四个多月了，有时会恶心，不知是怎么回事 ,宝宝四个多月了，有时会恶心，为什么,"(我家宝宝四个多月了，有时会恶心，不知是怎么回事 ,0.18833813);(恶心（四字常言） ,0.5873401);(最近有点恶心怎么回事 ,0.7052748);(孩子腹泻怎么办？宝宝现在四个多月，腹泻了，是什么原因？怎么办呢？ ,0.9092822);(怎么回事啊我妹妹HY四个月多点,昨天突然感觉肚子难受,想拉臭臭, ,0.979832);(人为什么会表现出善和恶两种性格? ,1.0260514);(我的宝宝已经四个月了,每天拉肚子4,1.0482571);(四害是什么？ ,1.0621986);(怀孕时恶心怎么办？妈妈们在怀孕时，不可避免的会出现恶心症状，轻则 ,1.0701705);(急！！！！我家宝宝四个月，我是刨腹产，最近我发现我有黑色的像血一 ,1.0923426)",0.18833813071250916,0
71,71,看一下有没有脱发秘方?脱发用过好多产品就是效果不好，不知道谁有秘 ,看一下有没有脱发秘方？,"(谁有治疗脱发的妙招急急急拜谢 ,0.4168362);(朋友们有谁知道治疗脱发的最好方法请告诉我，谢了 ,0.46330163);(有没有治脱发的好方法啊？ ,0.47399932);(到底有什么办法可以治疗脱发的啊、 ,0.5182356);(怎样才能治疗脱发 ,0.5188866);(请问友友《脱发》如何治疗好？谢谢… ,0.5337957);(如何治脱发？ ,0.5344357);(头发问题请问用什么方法能解决脱发问题，谢谢 ,0.5555568);(脱发怎么办? ,0.5685935);(谁有治掉头发的秘方啊。。 ,0.61900264)",-1.0,-1
72,72,请问大家上海建工机施公司新进员工的待遇怎么样啊？我是上海的机械专 ,上海建工机施公司新进员工的待遇怎么样？,"(请问大家上海建工机施公司新进员工的待遇怎么样啊？我是上海的机械专 ,0.41861978);(大学毕业去当个游戏程序员待遇怎么样？有发展前景吗我是学计算机的， ,0.9303326);(中山竹蜻蜓智能科技有限公司怎么样？工作环境和薪资待遇 ,0.99080956);(学暖通的大专应届毕业生待遇咋样啊？ ,1.0195965);(在一汽海马汽车公司搞汽车研发待遇怎么样啊?我是应届大学毕业生，想 ,1.0263551);(湖北生物技术职业学院教师待遇如何？发展前景如何？我想知道。谢谢。 ,1.0687075);(从技术研发转行到专利代理人的职业前景如何？ ,1.1070241);(网络技术应用高级工程师就业前景怎么样？ ,1.186009);(请问谁知道广东发展银行信用卡部做信审员的待遇怎样吗？本人读市场营? ,1.186707);(学做橱柜？我想学做橱柜。橱柜的市场前景怎么样？有这方面的人士吗？ ,1.188932)",0.4186197817325592,0
73,73,为什么我的音乐播放器和日历不显示？？？好象３天了，我的博客音乐播 ,为什么我的音乐播放器和日历不显示？,"(我的博客上怎么没日历？我是菜鸟谢了 ,0.55410075);(博客的计数器怎么不显示数据了？请问为什么？ ,0.62851685);(今天提问时间为何不显示？ ,0.7296931);(请问我电脑怎么不显示图片呀? ,0.73837525);(请问我的手机怎么不显示图片请问我的手机为什么现在不能显示图片,以 ,0.74570024);(为什么电脑开机了屏幕不显示 ,0.746046);(为什么我每周领取了金圆，没有显示为什么我每周领取了金圆，背包里没 ,0.7490799);(为什么我的发言不能在""上海不夜天""里显示? ,0.750053);(求助怎么电话卡上的手机号码不能显示在手机上？急急急 ,0.75088495);(硬盘连接电脑不显示 ,0.75967234)",-1.0,-1
74,74,"妈妈晚上和我睡,看不了小说怎麽/?急 ","妈妈晚上和我睡,看不了小说怎麽","(妈妈晚上和我睡,看不了小说怎麽/?急 ,0.037673917);(去掉木床架，两人睡不下。打一字 ,0.5755279);(妈妈感冒,能和孩子一起睡么? ,0.58038676);(急！儿子8岁了，不敢自己睡，请帮帮我！！儿子出生后就一直和我们睡 ,0.6390166);(一男一女在一个屋子里睡,会发生什么事情! ,0.7506432);(孩子9岁了，还想要大人陪着睡，怎么办？孩子9岁了，还想要大人陪着 ,0.75091934);(女儿三年级了，可是还是不愿意一个人睡觉，大家有什么好的方法吗？谢? ,0.7689058);(自己的老婆和别的男人睡觉怎么办 ,0.77487093);(两个胖子睡一头打一城市名 ,0.84084016);(我想妈妈睡不着怎么办我今年十岁,每天晚都想和妈妈睡,妈妈总是有事 ,0.8456151)",0.037673916667699814,0
75,75,中医说我肝火旺盛，可是喝了药也不管用呢喝中药快一个月了，怎么老是 ,肝火旺盛怎么办,"(肝火旺该怎么办？ ,0.06393899);(肝火太旺怎么办，平常饮食应该注意什么？最好给个饮食谱 ,0.39649108);(冬季肝火旺盛怎么办？ ,0.48225918);(有没有治疗肝火的好方法？ ,0.5030356);(肝火旺盛请问怎么样降肝火呢？ ,0.536571);(肝火过旺？肝火过旺怎么办 ,0.5527437);(心火太旺怎么办 ,0.5758439);(心火旺咋办 ,0.6887226);(医生说我肝火比较旺，我平时要注意什么吗？ ,0.7130376);(有了心火怎么办？ ,0.7668997)",-1.0,-1
76,76,求函数y=x+√(1,求解函数y=x+√(1,"(求函数y=x+√(1,0.059701476);(求函数y＝f(x,0.3387967);(数学求解如何求函数y=x^3,0.38108718);(详解y=(x,0.3974715);(求函数y=x^2(1,0.4139084);(y=x^2(1,0.4372283);(函数y=x平方,0.44020593);(若二次函数y=（x,0.4556535);(数学求曲线y=√(3x,0.4560683);(已知x+y=,0.46356046)",0.059701476246118546,0
77,77,法师的修真任务“开辟通路”为什么不能做？我30级法师接了“开辟通 ,法师的修真任务“开辟通路”为什么不能做？ ,"(为什么43级的第2骑士任务不能做在做43级的第2骑士任务的时候， ,0.8325838);(知识人积分?知识人积分可以做什么啊`??我感觉我的积分用不玩`` ,0.9128955);(男朋友答应我的事情没有办到! ,0.9406554);(为什么贡献度满了还做不到任务啊我和师傅的贡献度满了为什么我还做不 ,0.9561182);(天机老人.弟子的任务都怎么做?他们要的东西都在哪儿?找不到啊 ,0.96365774);(猜一歌曲名太监最想做而做不到的事是什么？ ,0.97295004);(己欲立而立人，己欲达而达人，己所不欲，勿施于人为什么现在的人都做 ,0.97653043);(为了练好跳投,突破,运球,从日常生活上需做什么?在饮食,生活习惯 ,0.9807326);(迷茫的大一生走在大一的尾巴，我感到很迷茫，不知道可以做些什么，每 ,0.984548);(自己擅长的事情也不知道自己擅长干什么，想多做一些这样的事，也可以 ,0.98918134)",-1.0,-1
78,78,成都美式家具都有什么品牌，比较知名的实木的，古典的，或者田园的都 ,成都美式家具有什么品牌,"(成都买衣服比较好的地方有哪些？ ,0.34422487);(成都装修公司哪家好？ ,0.3707636);(成都哪儿的橱柜好啊？家具~~ ,0.40101668);(成都,0.44194144);(成都租车自驾旅游那好 ,0.45656234);(成都办张健身卡多少钱可以哦？ ,0.4675069);(成都的邮政编码是好多 ,0.47293624);(成都欧尚超市在哪里? ,0.47301695);(到成都，一定要尝的美食有哪些？ ,0.4832652);(成都租房子啊 ,0.4973018)",-1.0,-1
79,79,08年卡宴S黑色20000公里高配欲卖应该开价多少？开价100万? ,08年卡宴S黑色20000公里高配应该开价多少？,"(08年卡宴S黑色20000公里高配欲卖应该开价多少？开价100万? ,1.0799133);(初三数学题某建筑物地基是一个边长为30米的正六边形，要环绕地基开 ,1.1108098);(极品外普大风刀问价外普46点1暗，毒防13％2暗，命中155的大 ,1.1137297);(外国的学术期刊收取中国人巨额的版面费吗？中国很多学术期刊收取巨量 ,1.1154308);(敏改估价～有分4D掉1攻1防2魔的敏改，31级能卖多少钱？有练高 ,1.1219158);(求一部外国僵尸类电影名称07年或者是08年看过一部电影影片开头的 ,1.1239136);(比赛正式结束结果如下拜仁慕尼黑4:0維也納迅速祖?達斯1:0布? ,1.1420951);(传奇世界25级法师去哪练级最快？收费地图去哪最快？每小时多少经验 ,1.1468465);(好题齐分享有甲、乙两杯含盐率不同的盐水，甲杯盐水重120千克，乙 ,1.1476152);(一区金牛改僵估价改僵4D，40级，+敏，1防3魔网一金牛可卖多钱 ,1.1506941)",1.0799132585525513,0
80,80,新任务问题NPC位置于里谢里亚堡磨石贩卖的先生隔壁站着三位NPC ,位于里谢里亚堡磨石贩卖的先生隔壁站着三位NPC ,"(新任务问题NPC位置于里谢里亚堡磨石贩卖的先生隔壁站着三位NPC ,0.24272011);(假如给你一个美丽富饶，与世隔绝的荒岛，只允许你带三个东西，你会带? ,0.8263359);(狼宝宝任务卡死。每次拿到名单然后找名单上的三个人。。。每次拿到名 ,0.8432831);(考考你的人品！在一个风雨交加的夜晚，你独自开着车，突然遇到三个人 ,0.8506646);(长江大学石油工程专业录取三本吗?我是今年准备参加高考的高三学生, ,0.88787967);(请高手帮我区分我的笔记本电脑中的网络适配器(即网卡)有三个,分别 ,0.8957656);(求一部欧美动画电视剧名字！在翡翠台和明珠台都有播过，有三个女人当 ,0.91681397);(我曾看到这样一则小故事：隆冬来临之前，在深秋的田埂上，有三只小田? ,0.9205908);(多采的野果怎么办？？在天音祭祀的任务里，要到无字壁附近采三个野果 ,0.92594624);(追其他班上的女生在一次偶然的机会我从朋友手机上面随便弄了三个号码 ,0.92639846)",0.2427201122045517,0
81,81,英语四级在社会上好考吗 ,社会上英语四级好考吗 ,"(英语四级在社会上好考吗 ,0.08869667);(英语四级好过吗 ,0.43027833);(考试四级好过不？ ,0.47184584);(大学英语四级过不了怎么办呀 ,0.47647923);(第四套人民币的收藏价值怎么样 ,0.48381257);(冰河世纪4好看吗？ ,0.48444113);(四级的词汇量好大 ,0.5341479);(澳门四季酒店评价怎么样？ ,0.5368707);(第四军医大学如何？好不好考？ ,0.54886454);(英语四级老是不得过怎么办啊 ,0.55036324)",0.0886966735124588,0
82,82,行行出状元（体育名词一）不答：全能冠军，另答。 ,行行出状元（体育名词一） ,"(怎么理解""三百六十行,行行出状元"" ,0.5427075);(什么叫状元？全国哪来这么多状元？ ,0.8490341);(有关NBA选秀在NBA所有参加选秀的选手中，是如果确定状元、榜眼 ,1.0952691);(状元相当现在什么职位古代的状元相当于现代什么职位 ,1.1325073);(为什么网络被限制？连接状态显示：此连接被限制 ,1.2054754);(高考状元笔记有人买吗？ ,1.2224121);(关于ＮＢＡ选秀问题是怎么选法，状元能干什么，选出来是不是就可以打 ,1.26613);(000795是等着重组吗？这支股怎么这样呢。 ,1.2781141);(我在“爱问iAsk”看到的，路过的表个态。今天是第一次来“爱问i ,1.311107);(哪里看百杰榜名单有没有百杰榜名单看的 ,1.3211415)",-1.0,-1
83,83,一道英语选择题~,一道英语选择题,"(一道英语选择题,6.508161e-13);(一道英语选择题,6.508161e-13);(一道英语选择题,6.508161e-13);(一道英语选择题~,0.009091338);(一道英语选择题Theinternationalsituation ,0.013867068);(一道英语选择题Alicereturnedfromthemanag ,0.013867068);(一道英语选择题Meetingmyuncleafterallthe ,0.013867068);(一道英语选择题Howpleasedthelittlegirlwa ,0.013867068);(一道英语选择题Davidlikescountrylifeandh ,0.013867068);(一道英语选择题。Ineedonemovestampbeforem ,0.030701159)",0.009091338142752647,3
84,84,关于吵架为什么人吵架的时候，都认为自己是对的？ ,为什么人吵架的时候都认为自己是对的？ ,"(关于吵架为什么人吵架的时候，都认为自己是对的？ ,0.09196134);(为什么人会有感情？人有感情是对是错？ ,0.8527437);(为什么我在申请帐号的时候验证码为什么打对了还是错的啊kuai ,0.8685009);(俩人处对象发生矛盾都觉得自己是对的，怎么办各说各的理，所以总也说 ,0.88653916);(登陆不了！为什么我在官方网里登陆密码是对的！但在游戏里登陆密码是 ,0.9083548);(怎样才能站在对方的立场看问题？ ,0.9210375);(图形推理这两个题答案是？？？？大家怎么认为 ,0.92174536);(关于电势能和电势差的问题谁能解释一下，为什么这句话是对的：任意两 ,0.9427327);(据说哭、笑都有益健康，到底那一个对呢，为什么？ ,0.9474028);(“终身受用”和“终生受用”那个对？哪个正确？有何区别？ ,0.9537088)",0.0919613391160965,0
85,85,麦克风哪有得买？我想买一个可以带在耳朵上的小型麦克风，请问一般的 ,麦克风哪里能买？,"(风管机室内机在哪里买 ,0.85860497);(请问哪里可以买到打气筒！自行车用！ ,0.9614488);(电动摇摇车到那里能买? ,0.96245396);(肯德基的玩具那有卖的 ,0.9660825);(烈风商店有得买?那里啊? ,0.96668786);(去哪能买能录音的公仔啊 ,0.9704208);(谁知道哪里有卖这种磁带的？ ,0.979646);(在哪可以购买哈利波特1,0.9901108);(哪里可以买到周杰伦的所有专辑？磁带 ,0.9949488);(谁知道这副耳环哪里有卖？ ,1.0098848)",-1.0,-1
86,86,女生可以抽烟吗？我有个朋友（是个女生）经常抽烟，而且抽的很凶，特 ,女生可以抽烟吗？,"(抽烟会怀孕吗 ,0.7321901);(现在有哪些女明星在抽烟？ ,0.757771);(女孩子能炒股吗？ ,0.82346016);(女人抽什么牌子的香烟比较好呢? ,0.859842);(女生适合做软件开发吗？ ,0.87405);(烟台女人漂亮吗？ ,0.9550332);(女生在例假期间可以喝红茶吗 ,0.9567322);(范冰冰抽烟吗？ ,0.96427035);(夏天了，你们还买唇膏吗？夏天了，女生们，你们还买唇膏吗？还用唇膏 ,0.96560585);(听说有种迷你雪茄，是什么样的？女生可以抽吗？ ,0.99992067)",-1.0,-1
87,87,孩子刚满月丈夫提出离婚，我该怎么办， ,孩子刚满月丈夫提出离婚怎么办,"(孩子刚满月丈夫提出离婚，我该怎么办， ,0.113718726);(奶奶去世后多久，孙女可以结婚？奶奶去世了，作为孙女辈儿的，应该多 ,1.0063543);(夫妻分居两年以上是如何办理离婚？如果夫妻因工作关系分居两年以上， ,1.0178655);(老公得在婚前得了肝硬化,我可以离婚吗我老公得了肝硬化,我们结婚是 ,1.0394763);(GM回答速度点有三生石以后怎么结婚 ,1.042058);(一个明知这个男人刚刚离婚，又有情人，却在认识一个月内结婚，这会是? ,1.0542294);(家里逼和相亲不久（不够了解）的人结婚该怎么办？我的一个男同学，人 ,1.0681564);(爱上一个已婚的男人，我该怎么办？我们在一个公司上班，他老婆出国工 ,1.0740118);(中国公民如何办理境外结婚手续我和我的女朋友都是中国永久居民。我们 ,1.0866235);(行伤官大运时一定会离婚吗？ ,1.0909809)",0.11371872574090958,0
88,88,为什么文明3游戏世界在xp下老是报字型读取错误？根本就进不了游戏 ,为什么文明3游戏世界在xp下报字型读取错误？,"(我的电脑的系统可能有问题我的电脑安装的是xp系统,有个咔吧斯基的 ,0.7677648);(本人xpsp2512MB内存用VMware装xp出现问题在虚拟机 ,0.8341398);(win7下双硬盘双系统如何配置就是想再装多一个xp的作为备用，主 ,1.0445589);(跟windowsxpmediacenter一个样式的xp是哪个版? ,1.0783247);(联想笔记本原来装的vista系统现在为什么装不成xp系统我的联想 ,1.1077529);(viata操作系统如何改成xp操作系统？viata操作系统如何改 ,1.1102332);(不能进安全模式的系统一般会是什么问题？(不能进正常模式,xp)，? ,1.1275975);(病毒杀不了怎么办啊？新装了的xp系统，可是我刚一安装完补丁后，用 ,1.1366866);(如何从家里控制公司的电脑？家里一xp用adsl上网，公司一xp通 ,1.1441839);(重装xp的问题我现在使用的是xp，但是出了一点故障，想要重装。现 ,1.148799)",-1.0,-1
89,89,看看吧！这就是足球！！！今晚球队不设防！晕死！几轮的进球在一轮全 ,今晚球队不设防,"(当面不说话。（学校用语一） ,0.651479);(10月1日哪些单位不放假 ,0.6989902);(冬天不戴帽子,0.70917296);(按时睡觉不做夜猫子 ,0.721076);(为什么医院晚上不打青霉素 ,0.7293316);(谜语::不露脸(食物) ,0.73413885);(瑞星防火墙怎么不起作用啊 ,0.73484856);(不睡午觉有利减肥吗？ ,0.73864496);(打击假货不留情 ,0.74362314);(牛人，你怎么不做每日大盘分析了。 ,0.74727833)",-1.0,-1
90,90,怎么捉宠啊 ,怎么捉宠 ,"(怎么捉宠啊 ,0.01027625);(怎么抓宠 ,0.19114785);(抓宠技巧怎么样才能抓到好宠，哪位高手肯交流下心得 ,0.41879144);(小D刚玩，请问高手怎么抓宠？急！急！急！ ,0.4437106);(怎么抓宠物啊. ,0.4948995);(问道哪捉TJ宠？有什么好的宠？ ,0.5987538);(怎么捉TJ啊 ,0.6082617);(抓宠问题高手帮帮忙 ,0.620857);(神兽怎样捉 ,0.6382187);(“捉趸”是什么意思 ,0.67751783)",0.0102762496098876,0
91,91,我是大众卡用户，申请了DHC的试用装，但没收到，是大众卡用户不行? ,大众卡用户申请DHC的试用装,"(免费索取DHC试用装的网址是多少? ,1.0268725);(大地行者的问题请问大地行者穿什么A装好呀? ,1.0729713);(想入手RAV4，最近一汽丰田有关RAV4的试驾活动吗？ ,1.0983049);(请教各位，咒术诗人用什么B装最好啊？？？ ,1.1109031);(请问各位大地行者用什么A装最好用什么武器好（主要指的A级） ,1.1510738);(21CN企业邮箱还能免费试用吗？ ,1.1786788);(佣兵穿什么A装好？用什么武器好？佣兵在PK打怪应该怎么办呢？多谢 ,1.2108232);(一个ID到底能装多少CT..我问问大家..交易就只能CT吗!!!? ,1.2122365);(英雄联盟!AP风暴之怒出装 ,1.2505894);(MM服=全女角色?如上问.. ,1.2515281)",-1.0,-1
92,92,我本是男生，请问如何促进胸肌发达？我很想要有丰满的胸乳肌肉。谢谢 ,男生如何促进胸肌发达？,"(怎么能快速的增大胸肌? ,0.3751488);(我本是男生，请问如何促进胸肌发达？我很想要有丰满的胸乳肌肉。谢谢 ,0.5373618);(请问一下，怎么可以尽快的把胸肌和练起来？我搬家了，离健身房好远， ,0.6172317);(怎样简单、快速地练出胸肌? ,0.6245932);(请问用哑铃怎样练习可以锻炼到胸肌？ ,0.6678797);(青少年怎样锻炼胸腹肌？ ,0.69534427);(怎样使大腿肌肉发达？ ,0.70254624);(胸肌怎么练好看？ ,0.7039793);(谁知道怎样最快增加胸肌？我想让我的胸肌大点，但天天拉拉簧好像不见 ,0.70939344);(胸肌和手臂肌肉最好怎么锻炼 ,0.72269285)",0.5373618006706238,1
93,93,什么是发展中国特色社会主义的基本要求？ ,发展中国特色社会主义的基本要求,"(什么是发展中国特色社会主义的基本要求？ ,0.801267);(论文代写代发要求基本上有什么要求的？ ,0.84626627);(多选会计法对生成和提供会计资料所作的基本要求是任何单位和个人（） ,0.93065655);(多选会计法对生成和提供会计资料所作的基本要求是任何单位和个人（） ,0.93065655);(想进时尚杂志社，报社之类的媒体工作有什么要求呢？我看的杂志多了， ,0.98333186);(新手上路,大家多多关照,做为一个工业会计的基本要求 ,0.99733704);(应聘星级酒店酒吧服务员的要求？ ,1.066411);(政经什么是社会化大生产?它要求经济上要怎么样?为什么资本主义经济 ,1.1248122);(3个黑水组合后装备的要求是什么？ ,1.1330105);(吊具与索具安全作业的基本要求有哪些？ ,1.147367)",0.8012670278549194,0
94,94,好看的耽美电影有哪些 ,有哪些好看的耽美电影,"(好看的耽美电影有哪些 ,0.013334043);(寻好看滴耽美文 ,0.28738147);(耽美文打包下载 ,0.42828172);(谁有耽美文大合集最好什么类型的都有~~~~ ,0.4361905);(这是哪部耽美的作品啊 ,0.45718515);(想要耽美的东西 ,0.52662647);(求好看的重生文耽美的== ,0.54200923);(要怎么样才能在手机上看耽美GV完整版的 ,0.5544635);(耽美动漫小说都可以 ,0.5575609);(要看的耽美小说最近迷上耽美小说啦，求好看的耽美小说！ ,0.56183577)",0.013334043323993683,0
95,95,哪里有卖酒心糖的？现在这个季节可能都没有卖酒心糖的了，我去了好几 ,哪里有卖酒心糖的？,"(哪里有卖麦芽糖的？ ,0.37866366);(北京哪里有卖糖桂花啊？ ,0.49089643);(哪里有这种糖卖[钟][钟] ,0.49751648);(打铁卖糖,0.5932081);(求助请问哪里有糖炒板栗啊！现在急要 ,0.6772836);(求问谁知道哪有水果批发市场，我要再酿酒 ,0.67856956);(请问糖桂花是什么?能买到吗？ ,0.6819289);(到哪里买酿酒的酒曲 ,0.68711114);(什么叫太妃糖？ ,0.7441654);(春夏季节适宜喝哪些糖水呢? ,0.7447248)",-1.0,-1
96,96,政治面貌和预备党员用英文怎么说？ ,政治面貌和预备党员用英文怎么说呢？ ,"(政治面貌和预备党员用英文怎么说？ ,0.0054382775);(中央民族大学的预科班学生报哪个专业比较好 ,0.8922231);(graduatestudy是指中国的什么教育阶段啊？预科用英语怎? ,1.0012071);(请问，有要求中共党员的预备党员可以吗？ ,1.022892);(成为入党发展对象之后，怎样才能成为预备党员？成为入党发展对象，期 ,1.0266647);(去温州一个人旅行，需要提前准备些啥预备工作呢？我好担心到那边迷路? ,1.0508311);(预备党员的政治面貌填什么我是北科大新生 ,1.1032715);(大学毕业后想当军官请问如何才能当？大学毕业后还能报预备军官吗？如 ,1.1227787);(报考清华大学的历史系要做哪些准备 ,1.1458358);(政审是针对入党积极分子还是预备党员的？如题 ,1.1469089)",0.005438277497887611,0
97,97,【灯谜】（歇后语一）东山跑过驴，西山打过虎 ,东山跑过驴，西山打过虎 ,"(【灯谜】（歇后语一）东山跑过驴，西山打过虎 ,0.88887525);(Warcraft111魔兽问题我玩兽族，不知道有没有比较厉害的战 ,1.1415635);(带护身的法师一定无敌吗我想知道有谁和带护身的法师打过,真的是带上 ,1.2337745);(练个4世男仙怎么样？抗怎么样4世法满转的男仙 ,1.2349156);(这些年，美国都是打了哪些国家，哪国进行了还击？ ,1.2630788);(有个龙珠Z3的大问提我现在打倒了赛亚人王（那个大个子），但是我还 ,1.2666324);(王致志回来的话你们说中国对能更强吗 ,1.2678407);(阵容问题.!高手指教.!谢谢.以家就差个龙门接.就可以组建一支西 ,1.2717208);(为什么他大闹天宫时无敌，而取经时次次搬救兵？ ,1.2757672);(UD怎么破NE的无敌组合?NE英雄:DH+NA+PD,角鹰+QM ,1.2784534)",0.8888752460479736,0
98,98,请问鬼王的四灵潘是不是转到三重就会有了还是要去买啊 ,请问鬼王的四灵潘转到三重后需要购买吗,"(我要当斗地主游戏中的超级房主在哪购买超级房主 ,0.88723624);(单场比赛竞猜的问题500W的单场让球胜平负怎么购买？要我填写什么 ,0.89575964);(记帐式国债或者企业债券这些是什么意思？如何购买呢？ ,0.9547543);(请问C顶双刀双武士,双袭击，双灵魂各是多少钱？1200W能不能买? ,0.97842336);(核销单领用是否用完核销单才能购买啊？ ,0.98507744);(仙剑ol豪华版购买仙剑ol豪华版要通过什么方式购买 ,1.0016644);(游乐场里的技能包厢啊....技能槽啊这些哪可以买..是游乐场里的? ,1.0097464);(关于易方达平稳请问各位大师，易方达平稳基金如何？在分红后购买一些 ,1.0222028);(重复下`帐号锁定无法登陆我昨天晚上才登陆了帐号`今天看到我出售的 ,1.0270842);(5173疑惑问题我挂5173的东西今天上午发来消息说已有玩家买， ,1.0318328)",-1.0,-1
99,99,"为什么只有网通的进不去呀??系统总是说更新失败请重新启动呀,郁闷 ",为什么只有网通的进不去呀?系统更新失败,"(为什么网通服务器进不去啊? ,0.47304955);(为什么网通的服务器进不去 ,0.4978919);(网通的怎么进不去了~有进去的说下~ ,0.5056486);(我是网通的用户为什么我进不了游戏啊 ,0.52330345);(网通现在还能进吗,我怎么进不去了啊RT ,0.554956);(为什么西南政法大学招生网进不去 ,0.57125384);(为什么进不去道具网通 ,0.5780034);(电脑网页问题电脑网页为什么会进不去 ,0.58481956);(为什么只有网通的进不去呀??系统总是说更新失败请重新启动呀,郁闷 ,0.5952717);(为什么局域网进不去我在公司上得网，我们集团公司是用的局域网，为什 ,0.5999427)",0.5952717065811157,8
